               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.031569,           0.0097165,           0.0016728,             0.49125,              0.3363,             0.34027,             0.15194,            0.054578,            0.041281,           0.0041499,            0.003862,            0.003862,            0.003862
                  64,            0.030958,           0.0090069,           0.0014365,             0.48014,             0.30228,             0.29849,             0.13125,            0.056908,            0.042468,           0.0044752,            0.003763,            0.003763,            0.003763
                  65,            0.031106,           0.0098864,           0.0015657,             0.47597,             0.31105,             0.31508,             0.13801,             0.05658,            0.040421,           0.0046186,            0.003664,            0.003664,            0.003664
                  66,            0.029504,           0.0092194,           0.0015289,             0.55484,             0.32096,             0.33829,             0.14921,            0.054112,             0.04297,           0.0041398,            0.003565,            0.003565,            0.003565
                  67,            0.030373,           0.0091866,           0.0013729,             0.54473,             0.31196,             0.32735,             0.14043,            0.056103,            0.041849,           0.0051608,            0.003466,            0.003466,            0.003466
                  68,            0.030226,           0.0090754,           0.0013725,             0.52145,             0.31708,             0.32738,             0.14413,            0.055697,             0.04254,           0.0045491,            0.003367,            0.003367,            0.003367
                  69,            0.030131,           0.0091646,           0.0015228,             0.53013,             0.32112,             0.32974,             0.14521,            0.055106,            0.041885,           0.0049917,            0.003268,            0.003268,            0.003268
                  70,            0.030067,           0.0090456,            0.001153,              0.5323,             0.30908,              0.3199,             0.14266,            0.055529,            0.043039,             0.00469,            0.003169,            0.003169,            0.003169
                  71,            0.029472,           0.0089741,           0.0014267,             0.53569,             0.29665,             0.32398,             0.14697,            0.056277,            0.043736,           0.0051999,             0.00307,             0.00307,             0.00307
                  72,            0.028706,           0.0090779,             0.00111,             0.56217,             0.35036,             0.37113,             0.16464,            0.055398,            0.040437,            0.004059,            0.002971,            0.002971,            0.002971
                  73,            0.028717,           0.0085301,           0.0012026,             0.53997,             0.31184,             0.33727,             0.15957,            0.056447,             0.04427,           0.0046925,            0.002872,            0.002872,            0.002872
                  74,            0.028023,           0.0087278,           0.0012358,             0.51095,             0.31248,             0.32412,             0.14607,            0.056088,            0.042937,            0.004417,            0.002773,            0.002773,            0.002773
                  75,            0.028474,           0.0090222,           0.0014417,             0.55194,             0.31334,             0.34062,             0.15803,            0.056215,            0.042614,           0.0043372,            0.002674,            0.002674,            0.002674
                  76,            0.027933,           0.0083839,           0.0013066,             0.51033,             0.31999,             0.34335,             0.15162,            0.055612,            0.042601,           0.0047191,            0.002575,            0.002575,            0.002575
                  77,             0.02744,           0.0084907,            0.001136,             0.52827,              0.3374,             0.37195,              0.1694,            0.055734,            0.042044,           0.0042666,            0.002476,            0.002476,            0.002476
                  78,            0.027193,           0.0081061,           0.0010281,             0.52824,             0.30818,             0.32795,             0.14508,            0.055902,            0.044534,           0.0048543,            0.002377,            0.002377,            0.002377
                  79,            0.027412,           0.0085917,            0.001416,             0.53986,             0.30645,               0.341,             0.15415,            0.056028,            0.043939,           0.0049955,            0.002278,            0.002278,            0.002278
                  80,            0.027125,           0.0083506,           0.0010835,             0.49447,             0.29296,             0.31016,             0.13687,             0.05621,            0.046251,           0.0048921,            0.002179,            0.002179,            0.002179
                  81,            0.026614,           0.0080675,           0.0011383,             0.51631,              0.3203,             0.32913,             0.14517,            0.056166,            0.044189,            0.004899,             0.00208,             0.00208,             0.00208
                  82,            0.027118,           0.0083758,           0.0011457,             0.51657,             0.29952,             0.29088,             0.13085,             0.05636,            0.046717,            0.004808,            0.001981,            0.001981,            0.001981
                  83,            0.026438,           0.0081067,          0.00097395,             0.53862,              0.3309,             0.36077,             0.16589,            0.055265,            0.043592,           0.0042315,            0.001882,            0.001882,            0.001882
                  84,            0.026211,           0.0077993,           0.0011075,             0.54147,             0.32568,             0.34841,             0.15872,            0.055552,            0.043036,           0.0042531,            0.001783,            0.001783,            0.001783
                  85,            0.026519,           0.0079584,           0.0011619,             0.53766,             0.29962,             0.32778,             0.15069,             0.05679,            0.045169,           0.0047602,            0.001684,            0.001684,            0.001684
                  86,            0.025955,           0.0081715,          0.00095275,             0.49362,             0.31705,             0.33101,             0.15086,            0.056046,            0.044181,           0.0044595,            0.001585,            0.001585,            0.001585
                  87,             0.02567,           0.0078226,          0.00097517,             0.53833,             0.29036,              0.3327,             0.15671,            0.055803,            0.045484,           0.0050951,            0.001486,            0.001486,            0.001486
                  88,            0.025305,           0.0079558,          0.00097642,             0.50886,             0.31909,             0.34652,             0.15807,            0.055708,            0.044258,           0.0042857,            0.001387,            0.001387,            0.001387
                  89,             0.02548,           0.0076517,           0.0011556,             0.52847,             0.28257,             0.30119,             0.13788,            0.056014,            0.047327,           0.0048995,            0.001288,            0.001288,            0.001288
                  90,            0.025034,           0.0076271,           0.0010628,             0.54762,             0.30844,             0.33171,             0.15378,            0.055864,            0.046033,           0.0047533,            0.001189,            0.001189,            0.001189
                  91,            0.025164,            0.007444,          0.00099952,             0.53087,             0.31307,             0.33874,             0.15664,            0.056206,            0.045036,           0.0046124,             0.00109,             0.00109,             0.00109
                  92,            0.024553,           0.0075036,          0.00081235,             0.53754,              0.3133,             0.34636,             0.16167,            0.055523,            0.045456,           0.0042585,            0.000991,            0.000991,            0.000991
                  93,              0.0249,           0.0075536,          0.00096139,             0.51458,              0.3032,             0.32475,             0.14723,            0.056525,            0.046698,           0.0047155,            0.000892,            0.000892,            0.000892
                  94,            0.024368,           0.0073642,          0.00090421,             0.53916,             0.31196,             0.33483,             0.15291,            0.055952,            0.045869,           0.0046103,            0.000793,            0.000793,            0.000793
                  95,            0.024213,           0.0074184,            0.000937,             0.51913,             0.32334,             0.34427,             0.15883,            0.055279,            0.045177,           0.0045591,            0.000694,            0.000694,            0.000694
                  96,            0.024019,           0.0076581,          0.00089283,             0.56422,             0.31032,             0.34233,             0.16037,            0.055504,            0.045388,           0.0046554,            0.000595,            0.000595,            0.000595
                  97,            0.024026,           0.0071527,           0.0010222,             0.54173,             0.31277,              0.3386,              0.1587,            0.055831,            0.045382,           0.0046296,            0.000496,            0.000496,            0.000496
                  98,            0.024061,           0.0072011,          0.00095802,             0.57026,             0.31999,             0.35254,             0.16621,            0.055706,            0.045485,           0.0045056,            0.000397,            0.000397,            0.000397
                  99,            0.023748,            0.007658,           0.0012085,             0.56244,             0.31304,             0.34398,             0.16121,            0.055946,            0.045619,            0.004605,            0.000298,            0.000298,            0.000298
